wavelength_um,PC1_U,PC2_U,PC3_U,PC4_U,PC5_U,PC6_U,PC7_U,PC8_U,PC9_U
2.894356006,-0.7859419706531539,-0.08798871550759774,0.12436943315067477,-0.35851701709302775,-0.782815199484161,-0.7419834475907008,0.58775544440724,-0.5974929091752745,0.48002113445692235
2.895193978,-0.7855145394498138,-0.08594198077346872,0.12213573992800487,-0.361758359885679,-0.7855074324775375,-0.7452062589580483,0.5909878266867493,-0.6008227212698675,0.48411753640340094
2.896032436,-0.7855888898377422,-0.0876278511062911,0.1240565422712339,-0.3585334706097422,-0.7837401192349407,-0.7414862554864812,0.5865710600605503,-0.5968612084885182,0.4806063347349944
2.896871379,-0.7854840018878463,-0.08624023500438448,0.12244863080744407,-0.36118248680069104,-0.7851797108715258,-0.7447029929537783,0.5905683572306292,-0.6003087952874232,0.48294713584726323
2.897710808,-0.7853858768608183,-0.08717409462000306,0.12332646355254023,-0.360211729314565,-0.7835984541225252,-0.7439914789477404,0.5902722611439568,-0.6000732458788025,0.48236193556919765
2.898550725,-0.7861362438956676,-0.09152617045829296,0.1280806666373679,-0.35248729682285956,-0.7775881888326566,-0.7360436939602967,0.5822036427821304,-0.5917861894118716,0.4713406636655913
2.899391128,-0.7865678013450718,-0.09357939839048399,0.13107320715681406,-0.34662787045068083,-0.7777869072973924,-0.7272836549959621,0.5692864510010432,-0.5807156884104361,0.46675659482072585
2.900232019,-0.78716436965768,-0.0938289929886614,0.13204807953160355,-0.344785158846299,-0.7815272535725388,-0.723588554514606,0.5612347347908317,-0.5738575603105284,0.46675659482072585
2.901073397,-0.7873698884520521,-0.0934470552081937,0.1316793463215961,-0.3455838948151803,-0.7824316162407604,-0.7234031270230322,0.559789169021022,-0.5712055951731994,0.46148979231811615
2.901915264,-0.7866229766610394,-0.09393009011482872,0.1317239332719169,-0.3452094127747698,-0.7787353634180605,-0.7248665030854509,0.5647912189118758,-0.5772023619129433,0.4673417950987914
2.90275762,-0.7865840696687946,-0.09380540103570789,0.13156209915593967,-0.3456163905106901,-0.7785793977264732,-0.725504436130864,0.5658342173771801,-0.577728279501646,0.4661713945426603
2.903600465,-0.7861720436742776,-0.09326073977656996,0.13031801025363196,-0.3481697295019458,-0.7761268483985819,-0.7298467540477106,0.5743324218114204,-0.5846034313997203,0.4661713945426603
2.904443799,-0.7868826767971244,-0.09402290349438013,0.13226927600054061,-0.3443812250109724,-0.7809169465635264,-0.7229722271993749,0.5604580994301623,-0.5729399882960392,0.46568372764426685
2.905287623,-0.7866721881314797,-0.09422472389591775,0.13241633471387707,-0.3441057931411799,-0.7802306677276677,-0.7228906633986831,0.5610633691806703,-0.5739749067431871,0.46743932847847014
